,name,mass,fall,year,reclat,reclong
6185,Dar al Gani 412,946.0,Found,01/01/1998,27.347,16.08833
6986,Dhofar 091,946.0,Found,01/01/1999,18.32967,54.4805
7716,Dhofar 331,946.0,Found,01/01/2000,18.14167,54.08667
36948,Sayh al Uhaymir 042,945.2,Found,01/01/2000,20.72306,57.125280000000004
8058,Dhofar 687,945.0,Found,01/01/2001,19.3415,54.72496999999999
5772,Dar al Gani 059,944.0,Found,01/01/1995,27.29867,16.166829999999997
28158,Northwest Africa 3270,943.0,Found,01/01/2006,0.0,0.0
16735,Jiddat al Harasis 272,942.1,Found,01/01/2005,19.93065,56.08387
6200,Dar al Gani 427,942.0,Found,01/01/1998,27.35817,16.43233
29843,Northwest Africa 6344,942.0,Found,01/01/2010,0.0,0.0
12095,Frontier Mountain 84001,942.0,Found,01/01/1984,-72.95488,160.47328000000002
17179,Jiddat al Harasis 717,942.0,Found,01/01/2011,19.807920000000003,56.456030000000005
2845,Allan Hills A78105,941.7,Found,01/01/1978,-76.71667,159.66666999999998
21664,Lonewolf Nunataks 94102,941.6,Found,01/01/1994,-81.33333,152.83333000000002
1253,Acfer 138,941.0,Found,01/01/1990,27.66667,4.08333
1183,Acfer 069,941.0,Found,01/01/1990,27.53333,3.83333
27676,Northwest Africa 266,940.0,Found,01/01/1999,30.33333,-5.83333
42541,Yamato 82081,939.27,Found,01/01/1982,-71.5,35.66667
42161,Yamato 793506,939.0,Found,01/01/1979,-71.5,35.66667
40023,Yamato 790782,938.8,Found,01/01/1979,-71.5,35.66667
41900,Yamato 793241,938.0,Found,01/01/1979,-71.5,35.66667
37485,Shişr 001,936.8,Found,01/01/2001,18.508,53.98733000000001
11628,Elida (a),936.8,Found,01/01/1968,33.78333,-103.57667
25099,Miller Range 090021,936.0,Found,01/01/2009,0.0,0.0
7502,Dhofar 1696,936.0,Found,01/01/2010,19.14333,54.65583
16156,Hammadah al Hamra 180,936.0,Found,01/01/1996,28.6035,13.300670000000002
14154,Grove Mountains 022037,935.9,Found,01/01/2003,-72.78222,75.30111
3466,ash-Shalfah,935.0,Found,01/01/1961,21.875,49.719440000000006
35749,Ramlat as Sahmah 338,934.7,Found,01/01/2010,20.80265,55.46678000000001
4441,Asuka 881455,933.35,Found,01/01/1988,-72.0,26.0
12779,Graves Nunataks 95206,933.2,Found,01/01/1995,-86.71667,-141.5
6620,Dar al Gani 849,933.0,Found,01/01/1998,26.883329999999997,16.68817
6747,Dar al Gani 983,933.0,Found,01/01/2002,26.7375,16.8995
16125,Hammadah al Hamra 150,932.0,Found,01/01/1995,28.663,13.469829999999998
6004,Dar al Gani 231,932.0,Found,01/01/1997,27.1685,15.958329999999998
36977,Sayh al Uhaymir 071,931.9,Found,01/01/2001,20.819,57.26367
6745,Dar al Gani 981,931.0,Found,01/01/2001,27.20983,16.4265
7452,Dhofar 1650,930.0,Found,01/01/2011,19.058220000000002,54.57192
24407,Miller Range 07031,930.0,Found,01/01/2007,0.0,0.0
24402,Miller Range 07020,930.0,Found,01/01/2007,0.0,0.0
6154,Dar al Gani 381,930.0,Found,01/01/1997,27.4345,16.12267
13033,Grier (b),929.4,Found,01/01/1969,34.26667,-103.38333
16663,Jiddat al Harasis 201,929.4,Found,01/01/2002,19.965729999999997,56.44223
17275,Johannessen Nunataks 03007,929.3,Found,01/01/2003,-72.89964,161.12836000000001
